concurso,metodo,dezenas,acertos
6,M3_mais_atrasadas,03-05-06-07-08-10-11-13-14-15-17-18-21-22-23,8
6,M4_par_impar_balanceado,02-03-04-06-07-08-09-13-14-15-17-20-22-23-24,7
6,M5_soma_faixa_comum,01-03-06-08-09-10-11-13-16-17-19-20-23-24-25,8
7,M1_aleatorio_puro,01-02-03-04-05-09-11-12-13-15-16-18-19-21-22,9
7,M2_mais_frequentes,01-02-04-05-06-09-10-11-12-13-16-19-20-23-24,7
7,M3_mais_atrasadas,01-03-08-09-11-13-14-15-17-18-20-21-22-24-25,8
7,M4_par_impar_balanceado,01-02-03-06-08-10-12-13-15-18-19-21-22-23-24,10
7,M5_soma_faixa_comum,02-03-04-05-07-08-09-10-13-16-18-19-22-23-24,9
8,M1_aleatorio_puro,01-02-03-05-07-08-11-12-13-16-17-21-22-24-25,8
8,M2_mais_frequentes,01-02-04-05-06-09-10-11-12-16-19-20-23-24-25,9
8,M3_mais_atrasadas,01-02-03-05-06-09-11-13-14-17-18-19-20-21-24,9
8,M4_par_impar_balanceado,05-06-07-09-10-11-12-14-16-17-18-20-21-23-24,8
8,M5_soma_faixa_comum,02-05-06-07-08-10-11-13-14-15-16-19-20-24-25,10
9,M1_aleatorio_puro,01-02-05-06-09-10-11-12-15-16-17-20-22-24-25,10
9,M2_mais_frequentes,01-04-05-06-08-09-10-12-13-15-16-19-23-24-25,10
9,M3_mais_atrasadas,02-03-04-05-06-07-10-11-12-14-16-21-22-23-24,8
9,M4_par_impar_balanceado,01-02-03-06-12-13-14-16-18-19-20-21-22-23-25,7
9,M5_soma_faixa_comum,01-04-05-06-08-11-13-15-16-18-19-20-22-23-25,9
10,M1_aleatorio_puro,01-02-03-07-09-11-13-14-15-16-17-19-20-22-25,7
10,M2_mais_frequentes,01-04-05-06-09-10-12-13-15-16-19-20-23-24-25,10
10,M3_mais_atrasadas,01-02-03-04-06-07-08-12-13-14-18-21-22-23-24,9
10,M4_par_impar_balanceado,02-03-05-06-10-13-15-16-18-19-20-21-22-24-25,8
10,M5_soma_faixa_comum,01-04-06-07-09-10-12-15-16-18-19-20-23-24-25,9
11,M1_aleatorio_puro,02-03-06-07-10-11-13-15-16-17-18-19-21-23-25,9
11,M2_mais_frequentes,01-04-05-06-08-09-10-11-12-16-19-20-23-24-25,12
11,M3_mais_atrasadas,01-04-07-11-13-15-16-17-18-19-20-21-22-24-25,8
11,M4_par_impar_balanceado,01-02-03-05-07-08-09-12-16-17-18-20-21-22-24,9
11,M5_soma_faixa_comum,02-03-05-06-08-10-11-12-15-16-17-21-23-24-25,10
12,M1_aleatorio_puro,01-05-08-09-10-11-12-13-16-17-19-20-21-22-25,10
12,M2_mais_frequentes,01-04-05-06-08-09-10-11-12-16-19-20-23-24-25,11
12,M3_mais_atrasadas,01-03-04-05-08-12-13-14-15-17-18-19-20-21-22,7
12,M4_par_impar_balanceado,04-06-07-08-09-10-12-13-14-15-17-19-22-23-24,9
12,M5_soma_faixa_comum,01-02-04-06-07-08-11-13-14-17-18-20-22-24-25,10
13,M1_aleatorio_puro,02-04-05-06-08-09-10-12-16-19-20-21-22-23-25,8
13,M2_mais_frequentes,01-02-04-05-08-09-10-11-12-16-19-20-23-24-25,8
13,M3_mais_atrasadas,01-02-03-06-07-10-13-15-18-19-20-21-22-23-25,8
13,M4_par_impar_balanceado,01-04-05-06-07-08-09-10-12-14-16-17-19-21-24,10
13,M5_soma_faixa_comum,02-03-04-06-09-10-11-12-13-18-19-20-23-24-25,8
14,M1_aleatorio_puro,03-04-05-08-09-10-11-14-15-17-19-20-21-23-24,8
14,M2_mais_frequentes,01-04-05-06-08-09-10-11-12-16-19-20-23-24-25,8
14,M3_mais_atrasadas,01-02-03-04-10-11-12-16-18-20-21-22-23-24-25,7
14,M4_par_impar_balanceado,01-02-03-04-06-07-09-10-11-14-20-21-22-24-25,9
14,M5_soma_faixa_comum,02-05-06-07-08-10-13-14-15-16-18-19-20-22-25,11
15,M1_aleatorio_puro,01-02-04-05-06-07-08-12-13-17-18-20-21-22-24,9
15,M2_mais_frequentes,01-04-05-06-08-09-10-11-12-16-19-20-23-24-25,11
15,M3_mais_atrasadas,02-03-04-08-09-10-11-12-16-17-18-20-22-24-25,9
15,M4_par_impar_balanceado,01-04-05-06-08-09-10-11-12-13-15-16-17-20-22,8
15,M5_soma_faixa_comum,01-02-04-05-10-11-13-15-16-18-19-20-22-23-24,10
16,M1_aleatorio_puro,01-04-05-08-09-10-11-12-14-15-16-18-19-21-24,8
16,M2_mais_frequentes,01-02-04-05-06-08-09-10-12-15-16-19-23-24-25,11
16,M3_mais_atrasadas,03-04-05-07-08-09-11-13-14-15-17-19-20-22-23,8
16,M4_par_impar_balanceado,01-03-04-05-07-08-10-12-13-14-15-16-19-20-22,8
16,M5_soma_faixa_comum,02-05-07-08-09-11-12-13-15-16-17-18-19-21-22,10
17,M1_aleatorio_puro,01-04-05-06-07-09-10-12-14-17-18-22-23-24-25,8
17,M2_mais_frequentes,01-02-04-05-06-08-09-10-12-15-16-19-23-24-25,7
17,M3_mais_atrasadas,01-02-03-04-07-08-09-11-14-16-18-20-22-23-24,9
17,M4_par_impar_balanceado,01-02-03-06-07-10-11-12-14-15-16-17-18-19-20,11
17,M5_soma_faixa_comum,02-06-07-08-09-10-11-12-13-14-18-20-21-24-25,9
18,M1_aleatorio_puro,04-05-06-07-08-11-14-15-16-18-20-22-23-24-25,11
18,M2_mais_frequentes,01-02-05-06-08-09-10-12-13-15-16-19-23-24-25,8
18,M3_mais_atrasadas,01-02-04-05-07-08-10-11-12-14-15-22-23-24-25,10
18,M4_par_impar_balanceado,05-06-09-10-12-13-14-15-16-17-20-22-23-24-25,9
18,M5_soma_faixa_comum,02-03-04-05-06-09-10-12-14-16-18-21-23-24-25,7
19,M1_aleatorio_puro,02-03-04-05-07-10-12-13-15-16-17-21-22-23-24,10
19,M2_mais_frequentes,02-05-06-07-08-09-10-12-15-16-19-20-23-24-25,11
19,M3_mais_atrasadas,01-02-03-04-05-09-12-13-15-16-20-21-23-24-25,8
19,M4_par_impar_balanceado,02-03-04-05-06-08-09-10-14-15-17-18-21-22-25,8
19,M5_soma_faixa_comum,01-02-03-05-06-09-10-13-14-15-17-20-21-22-25,9
20,M1_aleatorio_puro,01-02-03-04-05-06-07-09-11-14-16-18-21-22-24,9
20,M2_mais_frequentes,02-05-06-07-08-09-10-12-15-16-19-20-23-24-25,10
20,M3_mais_atrasadas,01-02-03-04-07-09-11-12-16-17-18-19-21-22-25,8
20,M4_par_impar_balanceado,02-04-05-07-08-09-10-13-14-15-18-20-22-23-25,9
20,M5_soma_faixa_comum,01-03-04-05-06-07-11-13-14-15-16-18-21-22-25,7
21,M1_aleatorio_puro,01-04-06-07-09-10-12-14-15-16-19-21-23-24-25,8
21,M2_mais_frequentes,02-05-06-07-08-09-10-15-16-17-19-20-23-24-25,9
21,M3_mais_atrasadas,01-02-03-05-07-11-12-13-15-17-19-20-21-22-25,8
21,M4_par_impar_balanceado,01-02-03-05-06-08-10-11-14-15-16-18-20-21-23,10
21,M5_soma_faixa_comum,02-03-05-06-08-09-11-13-14-16-18-19-20-21-24,10
22,M1_aleatorio_puro,01-03-04-05-06-08-10-12-15-17-20-22-23-24-25,10
22,M2_mais_frequentes,02-05-06-07-08-09-10-11-15-16-19-20-23-24-25,8
22,M3_mais_atrasadas,03-04-06-07-08-09-10-12-13-15-17-18-19-21-23,9
22,M4_par_impar_balanceado,01-02-03-04-07-08-12-13-14-15-16-17-18-19-22,10
22,M5_soma_faixa_comum,01-02-03-06-07-09-11-12-13-15-18-19-21-24-25,10
23,M1_aleatorio_puro,01-03-04-05-08-10-12-13-14-16-17-19-23-24-25,11
23,M2_mais_frequentes,02-04-05-06-07-08-09-10-14-16-19-20-23-24-25,9
23,M3_mais_atrasadas,01-02-04-07-08-11-14-16-17-18-19-20-21-23-24,10
23,M4_par_impar_balanceado,02-03-04-05-06-08-09-11-14-18-19-20-21-23-24,10
23,M5_soma_faixa_comum,01-02-04-06-08-11-12-13-14-15-18-20-22-24-25,9
24,M1_aleatorio_puro,01-03-05-06-07-12-13-14-16-19-20-21-22-23-24,10
24,M2_mais_frequentes,01-02-04-05-06-07-08-09-10-14-16-19-20-23-24,10
24,M3_mais_atrasadas,01-02-06-07-09-13-14-15-17-20-21-22-23-24-25,10
24,M4_par_impar_balanceado,02-06-08-10-12-13-14-15-17-19-20-21-23-24-25,10
24,M5_soma_faixa_comum,03-04-05-07-09-11-12-13-14-16-18-19-20-21-22,8
25,M1_aleatorio_puro,01-02-07-09-10-13-15-16-17-19-20-21-22-23-25,9
25,M2_mais_frequentes,01-02-04-05-06-07-08-10-14-16-19-20-23-24-25,11
25,M3_mais_atrasadas,01-04-06-08-09-11-12-13-15-16-18-20-22-24-25,9
25,M4_par_impar_balanceado,03-04-05-06-07-08-09-10-11-12-13-20-22-23-24,11
25,M5_soma_faixa_comum,02-06-07-08-09-10-12-14-15-16-17-18-20-23-24,9
26,M1_aleatorio_puro,01-02-05-07-09-10-11-12-14-16-18-20-22-24-25,9
26,M2_mais_frequentes,01-02-05-06-07-08-09-10-14-16-19-20-23-24-25,10
26,M3_mais_atrasadas,02-03-06-08-10-11-12-13-15-17-18-19-21-23-25,8
26,M4_par_impar_balanceado,02-03-04-05-08-09-10-11-12-13-14-15-19-22-24,9
26,M5_soma_faixa_comum,01-02-05-09-10-12-13-14-15-16-17-18-20-22-23,10
27,M1_aleatorio_puro,03-04-05-06-07-09-10-11-16-18-19-20-21-22-23,8
27,M2_mais_frequentes,01-02-05-06-07-08-09-10-14-16-17-19-20-23-24,6
27,M3_mais_atrasadas,01-02-03-04-06-10-12-13-14-15-16-18-23-24-25,10
27,M4_par_impar_balanceado,01-04-05-06-07-10-16-17-18-19-20-22-23-24-25,7
27,M5_soma_faixa_comum,01-03-04-05-08-09-12-15-16-18-20-21-22-23-25,9
28,M1_aleatorio_puro,03-04-05-06-07-08-13-14-15-17-18-20-23-24-25,7
28,M2_mais_frequentes,02-05-06-07-08-09-10-11-14-16-19-20-23-24-25,8
28,M3_mais_atrasadas,01-02-04-05-07-08-09-11-12-13-15-16-17-19-23,9
28,M4_par_impar_balanceado,01-02-06-07-08-09-10-11-14-15-18-21-22-23-24,8
28,M5_soma_faixa_comum,01-02-04-05-07-09-12-14-15-17-20-21-22-24-25,8
29,M1_aleatorio_puro,01-02-03-07-08-10-12-13-14-17-18-20-22-23-24,8
29,M2_mais_frequentes,01-02-05-06-07-08-09-10-11-14-16-19-20-23-24,10
29,M3_mais_atrasadas,01-02-04-05-06-08-09-11-15-18-20-22-23-24-25,9
29,M4_par_impar_balanceado,01-02-03-04-06-07-08-09-12-14-15-16-19-20-23,9
29,M5_soma_faixa_comum,01-02-07-08-10-11-13-14-15-18-19-21-22-23-24,8
30,M1_aleatorio_puro,01-02-03-07-08-09-10-11-13-17-18-20-22-23-25,10
30,M2_mais_frequentes,01-02-05-06-07-08-09-10-11-14-16-19-20-23-24,10
30,M3_mais_atrasadas,02-03-04-06-07-10-11-12-14-15-18-20-22-23-25,10
30,M4_par_impar_balanceado,03-05-06-09-10-12-13-16-17-18-19-20-21-22-24,7
30,M5_soma_faixa_comum,01-02-04-07-09-11-12-13-16-17-18-20-21-23-25,9
31,M1_aleatorio_puro,01-02-03-04-05-08-11-12-13-16-19-21-22-23-25,9
31,M2_mais_frequentes,01-02-05-06-07-08-09-10-11-14-16-19-20-23-24,7
31,M3_mais_atrasadas,05-08-09-10-12-13-15-16-17-18-20-21-23-24-25,8
31,M4_par_impar_balanceado,01-02-03-04-06-07-08-10-11-12-13-14-17-19-20,9
31,M5_soma_faixa_comum,02-03-04-08-09-10-12-13-16-17-19-20-23-24-25,10
32,M1_aleatorio_puro,01-02-03-04-05-06-07-08-09-10-11-15-16-19-21,10
32,M2_mais_frequentes,01-02-05-06-07-08-09-10-14-16-17-19-20-23-24,11
32,M3_mais_atrasadas,03-04-05-06-07-08-09-10-11-12-16-17-18-22-23,10
32,M4_par_impar_balanceado,06-07-08-10-11-12-15-16-17-18-19-20-22-23-25,10
32,M5_soma_faixa_comum,01-02-03-05-07-08-10-12-15-16-17-20-21-23-24,9
33,M1_aleatorio_puro,05-06-08-09-11-13-16-17-18-19-20-21-22-23-24,9
33,M2_mais_frequentes,01-02-05-06-07-08-09-10-14-16-17-19-20-23-24,12
33,M3_mais_atrasadas,02-03-05-06-08-12-13-15-16-18-19-21-22-24-25,8
33,M4_par_impar_balanceado,01-02-05-06-08-10-11-12-15-16-17-18-21-22-23,10
33,M5_soma_faixa_comum,01-02-03-08-09-10-13-14-15-16-17-19-21-22-25,8
34,M1_aleatorio_puro,01-02-03-05-06-08-09-10-12-13-14-17-19-22-24,6
34,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-17-19-20-23-24,10
34,M3_mais_atrasadas,01-03-04-06-07-09-12-13-15-16-17-18-22-24-25,7
34,M4_par_impar_balanceado,04-05-08-09-10-11-12-13-14-15-16-18-19-20-23,11
34,M5_soma_faixa_comum,01-02-04-06-08-09-10-13-15-16-18-20-21-24-25,11
35,M1_aleatorio_puro,02-05-06-09-10-11-12-13-14-18-20-22-23-24-25,9
35,M2_mais_frequentes,01-02-05-06-07-08-09-10-11-14-16-19-20-23-24,8
35,M3_mais_atrasadas,02-03-04-05-06-09-12-13-14-17-21-22-23-24-25,11
35,M4_par_impar_balanceado,02-05-06-08-09-10-13-15-16-17-18-20-21-23-24,7
35,M5_soma_faixa_comum,01-03-04-08-10-11-12-13-14-15-18-19-20-22-23,9
36,M1_aleatorio_puro,01-02-03-06-07-08-09-10-11-12-16-17-18-23-25,7
36,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-17-19-20-23-24,12
36,M3_mais_atrasadas,02-03-04-06-07-08-09-10-11-15-17-18-19-20-24,9
36,M4_par_impar_balanceado,01-03-05-06-09-10-12-14-16-17-18-21-22-24-25,8
36,M5_soma_faixa_comum,02-03-04-05-06-10-13-14-15-16-19-20-21-24-25,8
37,M1_aleatorio_puro,02-03-04-05-07-08-10-11-12-15-17-20-21-22-24,11
37,M2_mais_frequentes,01-02-04-05-06-07-08-10-11-14-16-17-19-20-23,8
37,M3_mais_atrasadas,02-03-06-07-09-10-12-13-14-15-16-18-20-22-25,7
37,M4_par_impar_balanceado,02-03-04-05-06-07-12-15-16-19-20-21-22-24-25,8
37,M5_soma_faixa_comum,01-03-04-06-08-09-11-12-16-17-19-20-21-24-25,9
38,M1_aleatorio_puro,02-03-04-05-06-10-12-13-14-15-16-20-21-23-24,9
38,M2_mais_frequentes,01-02-04-05-06-07-08-10-11-14-16-19-20-23-24,9
38,M3_mais_atrasadas,01-02-06-07-08-09-12-14-16-17-18-19-21-23-25,9
38,M4_par_impar_balanceado,02-04-11-12-13-14-15-16-17-19-20-21-22-23-24,7
38,M5_soma_faixa_comum,02-05-06-07-08-09-12-13-15-17-18-19-23-24-25,9
39,M1_aleatorio_puro,01-03-05-07-08-09-11-12-13-16-18-22-23-24-25,9
39,M2_mais_frequentes,01-02-05-06-07-08-09-10-11-14-16-19-20-23-24,9
39,M3_mais_atrasadas,01-04-05-06-08-09-11-12-17-18-19-20-21-23-24,9
39,M4_par_impar_balanceado,01-02-04-05-08-09-11-13-14-16-19-20-22-24-25,9
39,M5_soma_faixa_comum,03-04-05-08-09-11-12-13-14-16-17-18-20-23-24,9
40,M1_aleatorio_puro,01-02-05-07-08-09-10-12-15-16-17-19-21-23-25,10
40,M2_mais_frequentes,01-02-05-06-07-08-09-10-11-14-16-19-20-23-24,10
40,M3_mais_atrasadas,01-03-04-05-06-08-10-11-12-13-16-18-19-20-25,8
40,M4_par_impar_balanceado,01-02-03-04-06-08-09-10-11-15-20-21-22-24-25,8
40,M5_soma_faixa_comum,01-02-07-08-10-11-13-14-15-16-17-20-22-24-25,12
41,M1_aleatorio_puro,01-06-08-09-10-11-12-13-14-16-18-19-20-21-25,9
41,M2_mais_frequentes,01-02-05-07-08-09-10-11-14-16-17-19-20-23-24,7
41,M3_mais_atrasadas,03-04-06-07-08-09-11-12-13-14-15-18-19-23-25,10
41,M4_par_impar_balanceado,01-02-03-05-07-08-12-13-14-16-19-20-22-24-25,8
41,M5_soma_faixa_comum,01-02-05-06-09-11-12-13-15-18-20-21-22-24-25,9
42,M1_aleatorio_puro,01-02-03-04-05-08-09-12-14-15-18-21-23-24-25,11
42,M2_mais_frequentes,01-02-05-07-08-09-10-11-14-16-17-19-20-23-24,7
42,M3_mais_atrasadas,01-05-06-07-08-10-11-14-16-17-19-21-22-23-24,10
42,M4_par_impar_balanceado,03-04-06-08-09-11-12-13-15-16-18-20-21-22-23,9
42,M5_soma_faixa_comum,01-02-04-05-06-09-11-13-15-17-18-20-23-24-25,9
43,M1_aleatorio_puro,01-02-04-05-06-07-09-10-12-13-15-16-21-23-24,7
43,M2_mais_frequentes,01-02-05-07-08-09-10-11-14-16-17-19-20-23-24,11
43,M3_mais_atrasadas,01-02-05-07-09-10-12-13-15-16-18-19-20-21-23,8
43,M4_par_impar_balanceado,02-03-05-07-08-09-10-12-14-16-19-20-21-22-25,9
43,M5_soma_faixa_comum,01-02-04-05-08-09-11-12-13-19-20-21-22-23-25,7
44,M1_aleatorio_puro,01-02-03-04-06-08-10-13-14-15-17-18-19-23-24,10
44,M2_mais_frequentes,01-02-05-06-07-08-09-10-14-16-17-19-20-23-24,7
44,M3_mais_atrasadas,02-04-05-08-10-11-12-13-14-15-16-17-20-21-25,9
44,M4_par_impar_balanceado,01-02-06-08-09-10-11-12-13-15-17-20-22-24-25,7
44,M5_soma_faixa_comum,01-02-04-07-10-11-12-13-14-18-19-22-23-24-25,11
45,M1_aleatorio_puro,01-02-03-05-09-10-11-13-14-16-18-21-23-24-25,12
45,M2_mais_frequentes,01-04-05-06-07-08-10-11-14-16-17-19-20-23-24,9
45,M3_mais_atrasadas,01-02-05-07-08-09-10-14-15-16-17-19-20-21-22,10
45,M4_par_impar_balanceado,01-02-04-05-06-08-09-10-12-13-16-17-22-23-25,8
45,M5_soma_faixa_comum,01-02-03-07-10-11-12-13-15-17-19-20-21-22-23,8
46,M1_aleatorio_puro,01-02-03-05-06-08-11-13-16-17-19-21-22-23-24,10
46,M2_mais_frequentes,01-02-05-06-07-08-09-10-14-16-17-19-20-23-24,10
46,M3_mais_atrasadas,04-06-08-09-10-11-12-13-14-15-18-19-20-21-22,9
46,M4_par_impar_balanceado,02-03-06-07-12-16-17-18-19-20-21-22-23-24-25,8
46,M5_soma_faixa_comum,03-05-06-07-09-11-12-13-15-16-18-21-23-24-25,8
47,M1_aleatorio_puro,01-03-07-09-10-11-12-13-14-15-17-18-19-20-21,8
47,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-17-19-20-23-24,8
47,M3_mais_atrasadas,01-03-07-09-10-12-13-14-15-16-17-18-20-22-25,9
47,M4_par_impar_balanceado,01-02-03-04-05-06-10-11-12-15-18-19-22-24-25,12
47,M5_soma_faixa_comum,01-03-04-05-08-12-13-14-15-17-20-21-23-24-25,9
48,M1_aleatorio_puro,02-03-05-06-07-08-10-11-13-14-17-18-22-24-25,9
48,M2_mais_frequentes,01-02-04-05-06-08-10-11-14-16-17-19-20-23-24,9
48,M3_mais_atrasadas,02-06-07-09-12-13-14-15-16-17-19-21-22-23-24,11
48,M4_par_impar_balanceado,01-02-04-10-11-12-14-15-16-17-21-22-23-24-25,8
48,M5_soma_faixa_comum,02-03-04-08-10-11-12-15-16-17-18-20-21-22-23,10
49,M1_aleatorio_puro,01-02-03-04-08-09-11-12-14-17-18-20-21-24-25,7
49,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-17-19-20-23-24,10
49,M3_mais_atrasadas,01-02-03-04-08-09-10-12-13-14-15-17-22-24-25,7
49,M4_par_impar_balanceado,03-04-06-09-11-12-14-16-17-18-19-20-21-24-25,8
49,M5_soma_faixa_comum,01-02-04-05-06-09-10-12-13-15-16-19-22-24-25,10
50,M1_aleatorio_puro,02-03-06-08-09-11-12-16-17-18-19-21-22-24-25,9
50,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-17-19-20-23-24,9
50,M3_mais_atrasadas,01-03-06-07-09-10-12-13-14-16-17-18-21-24-25,10
50,M4_par_impar_balanceado,01-02-03-05-08-10-12-14-15-16-17-20-21-24-25,8
50,M5_soma_faixa_comum,02-03-07-08-09-10-11-13-14-16-17-20-21-23-25,11
51,M1_aleatorio_puro,06-08-09-11-12-13-15-16-17-18-19-21-23-24-25,8
51,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-17-19-20-23-24,11
51,M3_mais_atrasadas,04-05-08-09-10-12-13-14-15-16-17-18-22-24-25,7
51,M4_par_impar_balanceado,02-03-04-05-07-08-11-12-14-15-16-17-20-21-24,10
51,M5_soma_faixa_comum,03-04-06-07-08-09-12-13-14-15-18-19-23-24-25,7
52,M1_aleatorio_puro,02-03-05-06-08-09-11-12-14-16-17-20-22-23-24,9
52,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-19-20-21-23-24,8
52,M3_mais_atrasadas,02-04-08-09-10-12-14-15-16-18-19-20-21-24-25,10
52,M4_par_impar_balanceado,01-02-06-08-09-10-11-13-14-16-18-19-21-22-25,10
52,M5_soma_faixa_comum,01-03-04-06-09-10-11-12-13-14-16-17-19-21-25,9
53,M1_aleatorio_puro,01-02-03-06-07-12-14-15-16-17-18-19-20-22-23,12
53,M2_mais_frequentes,01-02-05-06-08-10-11-13-14-16-19-20-21-23-24,9
53,M3_mais_atrasadas,01-03-05-06-07-09-10-11-14-17-18-19-20-21-25,11
53,M4_par_impar_balanceado,02-04-05-06-07-08-09-11-12-13-14-15-18-20-21,9
53,M5_soma_faixa_comum,03-04-06-07-08-09-10-14-15-16-18-20-22-24-25,8
54,M1_aleatorio_puro,04-05-07-08-10-11-12-13-14-15-16-18-21-22-24,11
54,M2_mais_frequentes,01-02-05-06-07-08-10-11-13-14-16-19-20-23-24,9
54,M3_mais_atrasadas,02-04-05-08-10-11-13-15-16-19-20-21-22-24-25,9
54,M4_par_impar_balanceado,02-03-04-06-07-09-10-11-12-13-14-15-17-22-24,9
54,M5_soma_faixa_comum,02-04-05-08-09-10-11-13-14-16-17-18-19-20-25,9
55,M1_aleatorio_puro,03-05-06-07-09-10-12-13-14-15-16-21-22-24-25,10
55,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-19-20-21-23-24,7
55,M3_mais_atrasadas,01-03-06-10-11-13-15-17-18-19-20-21-23-24-25,7
55,M4_par_impar_balanceado,03-04-07-08-09-10-12-13-16-17-18-21-22-24-25,10
55,M5_soma_faixa_comum,01-02-04-06-08-09-11-12-14-16-17-18-20-21-25,9
56,M1_aleatorio_puro,01-02-04-06-08-10-11-14-15-16-17-18-20-21-25,7
56,M2_mais_frequentes,01-02-05-06-07-08-10-11-14-16-19-20-21-23-24,9
56,M3_mais_atrasadas,01-02-04-08-09-10-11-14-17-19-20-21-22-23-24,10
56,M4_par_impar_balanceado,02-03-04-06-07-08-11-12-13-15-16-17-22-23-24,9
56,M5_soma_faixa_comum,02-03-05-08-09-10-11-12-13-16-17-19-20-22-25,10
57,M1_aleatorio_puro,01-02-03-07-08-10-11-12-15-16-17-18-19-20-21,11
57,M2_mais_frequentes,01-02-05-06-07-08-09-10-11-14-16-19-20-23-24,8
57,M3_mais_atrasadas,02-03-04-05-06-07-08-10-11-16-18-21-23-24-25,9
57,M4_par_impar_balanceado,01-02-03-04-06-08-09-12-15-18-19-21-22-24-25,11
57,M5_soma_faixa_comum,01-03-04-05-06-08-13-14-16-17-18-20-22-23-25,9
58,M1_aleatorio_puro,02-05-07-08-10-12-13-15-17-18-19-21-22-23-24,8
58,M2_mais_frequentes,01-02-05-06-07-08-10-11-13-14-16-19-20-23-24,8
58,M3_mais_atrasadas,01-02-04-05-09-10-11-13-14-15-16-18-19-23-24,9
58,M4_par_impar_balanceado,02-03-04-05-07-08-09-10-11-12-16-18-19-23-24,8
58,M5_soma_faixa_comum,02-03-04-05-06-11-12-14-15-17-20-21-22-23-25,11
59,M1_aleatorio_puro,01-03-05-07-08-09-10-13-15-16-18-20-21-23-25,11
59,M2_mais_frequentes,01-02-05-06-07-08-10-11-13-14-16-19-20-23-24,12
59,M3_mais_atrasadas,01-02-04-06-07-08-09-10-14-19-20-21-23-24-25,10
59,M4_par_impar_balanceado,01-02-06-07-08-10-11-12-14-15-17-20-21-22-23,10
59,M5_soma_faixa_comum,01-04-06-08-10-11-12-14-15-16-18-20-22-23-24,9
60,M1_aleatorio_puro,02-03-05-08-09-10-11-13-14-15-16-17-19-23-25,10
60,M2_mais_frequentes,01-02-05-06-07-08-10-11-13-14-16-19-20-23-24,9
60,M3_mais_atrasadas,01-02-04-06-07-09-11-12-16-17-18-21-22-24-25,10
60,M4_par_impar_balanceado,01-02-03-04-10-11-12-13-14-16-17-18-22-23-25,11
60,M5_soma_faixa_comum,02-04-06-07-09-11-12-13-14-16-17-21-22-23-25,8
61,M1_aleatorio_puro,01-02-06-07-08-10-11-12-15-16-18-21-22-24-25,7
61,M2_mais_frequentes,01-02-04-05-06-07-08-10-11-14-16-19-20-23-24,9
61,M3_mais_atrasadas,03-04-06-07-09-10-11-12-13-14-15-16-18-20-21,9
61,M4_par_impar_balanceado,02-03-04-07-09-11-12-13-15-16-18-20-22-23-24,10
61,M5_soma_faixa_comum,03-04-06-08-09-10-11-13-14-16-17-19-20-22-25,10
62,M1_aleatorio_puro,01-03-05-06-08-10-11-12-15-17-18-19-21-23-24,8
62,M2_mais_frequentes,01-02-04-05-06-07-08-11-13-14-16-19-20-23-24,9
